fieldName,fieldExclusions
Period,
UrlCustomParameters,
AccountCurrencyCode,
AccountDescriptiveName,
AccountTimeZone,
ActiveViewCpm,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
ActiveViewCtr,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
ActiveViewImpressions,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
ActiveViewMeasurability,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
ActiveViewMeasurableCost,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
ActiveViewMeasurableImpressions,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
ActiveViewViewability,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
AdNetworkType1,
AdNetworkType2,
AdvertisingChannelSubType,
AdvertisingChannelType,
AllConversionRate,HourOfDay;Slot
AllConversions,HourOfDay;Slot
AllConversionValue,HourOfDay;Slot
Amount,
AverageCost,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
AverageCpc,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
AverageCpe,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
AverageCpm,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
AverageCpv,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
AverageFrequency,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;DayOfWeek;Device;ExternalConversionSource;HourOfDay;Quarter;Slot;Year
AveragePageviews,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;Device;ExternalConversionSource;HourOfDay;Slot
AveragePosition,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
AverageTimeOnSite,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;Device;ExternalConversionSource;HourOfDay;Slot
BaseCampaignId,
BiddingStrategyId,
BiddingStrategyName,
BiddingStrategyType,
BidType,
BounceRate,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;Device;ExternalConversionSource;HourOfDay;Slot
BudgetId,
CampaignDesktopBidModifier,
CampaignGroupId,
CampaignId,
CampaignMobileBidModifier,
CampaignName,
CampaignStatus,
CampaignTabletBidModifier,
CampaignTrialType,
ClickAssistedConversions,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;Device;ExternalConversionSource;HourOfDay;Slot
ClickAssistedConversionsOverLastClickConversions,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;Device;ExternalConversionSource;HourOfDay;Slot
ClickAssistedConversionValue,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;Device;ExternalConversionSource;HourOfDay;Slot
Clicks,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
ClickType,AverageCpe;AverageCpv;AverageFrequency;AveragePageviews;AverageTimeOnSite;BounceRate;ClickAssistedConversionValue;ClickAssistedConversions;ClickAssistedConversionsOverLastClickConversions;ContentBudgetLostImpressionShare;ContentImpressionShare;ContentRankLostImpressionShare;EngagementRate;Engagements;ImpressionAssistedConversionValue;ImpressionAssistedConversions;ImpressionAssistedConversionsOverLastClickConversions;ImpressionReach;PercentNewVisitors;RelativeCtr;SearchBudgetLostImpressionShare;SearchExactMatchImpressionShare;SearchImpressionShare;SearchRankLostImpressionShare;VideoQuartile100Rate;VideoQuartile25Rate;VideoQuartile50Rate;VideoQuartile75Rate;VideoViewRate;VideoViews;ViewThroughConversions
ContentBudgetLostImpressionShare,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource;Slot
ContentImpressionShare,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource;Slot
ContentRankLostImpressionShare,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource;Slot
ConversionCategoryName,ActiveViewCpm;ActiveViewCtr;ActiveViewImpressions;ActiveViewMeasurability;ActiveViewMeasurableCost;ActiveViewMeasurableImpressions;ActiveViewViewability;AverageCost;AverageCpc;AverageCpe;AverageCpm;AverageCpv;AverageFrequency;AveragePageviews;AveragePosition;AverageTimeOnSite;BounceRate;ClickAssistedConversionValue;ClickAssistedConversions;ClickAssistedConversionsOverLastClickConversions;Clicks;ContentBudgetLostImpressionShare;ContentImpressionShare;ContentRankLostImpressionShare;Cost;Ctr;EngagementRate;Engagements;GmailForwards;GmailSaves;GmailSecondaryClicks;ImpressionAssistedConversionValue;ImpressionAssistedConversions;ImpressionAssistedConversionsOverLastClickConversions;ImpressionReach;Impressions;InteractionRate;InteractionTypes;Interactions;InvalidClickRate;InvalidClicks;NumOfflineImpressions;NumOfflineInteractions;OfflineInteractionRate;PercentNewVisitors;RelativeCtr;SearchBudgetLostImpressionShare;SearchExactMatchImpressionShare;SearchImpressionShare;SearchRankLostImpressionShare;VideoQuartile100Rate;VideoQuartile25Rate;VideoQuartile50Rate;VideoQuartile75Rate;VideoViewRate;VideoViews
ConversionRate,
Conversions,
