fieldName,fieldExclusions
AccountDescriptiveName,
AccountTimeZone,
AllConversionRate,HourOfDay;Slot
AllConversions,HourOfDay;Slot
AllConversionValue,HourOfDay;Slot
Amount,
AverageCpc,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
AveragePosition,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
BudgetId,
CampaignDesktopBidModifier,
CampaignId,
CampaignMobileBidModifier,
CampaignName,
CampaignStatus,
CampaignTabletBidModifier,
Clicks,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
ConversionRate,
Conversions,
ConversionValue,
Cost,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
CostPerConversion,
CrossDeviceConversions,HourOfDay;Slot
Ctr,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
Date,
Device,AverageFrequency;AveragePageviews;AverageTimeOnSite;BounceRate;ClickAssistedConversionValue;ClickAssistedConversions;ClickAssistedConversionsOverLastClickConversions;ImpressionAssistedConversionValue;ImpressionAssistedConversions;ImpressionAssistedConversionsOverLastClickConversions;ImpressionReach;NumOfflineImpressions;NumOfflineInteractions;OfflineInteractionRate;PercentNewVisitors;RelativeCtr
EndDate,
HourOfDay,AllConversionRate;AllConversionValue;AllConversions;AverageFrequency;AveragePageviews;AverageTimeOnSite;BounceRate;ClickAssistedConversionValue;ClickAssistedConversions;ClickAssistedConversionsOverLastClickConversions;CostPerAllConversion;CrossDeviceConversions;ImpressionAssistedConversionValue;ImpressionAssistedConversions;ImpressionAssistedConversionsOverLastClickConversions;ImpressionReach;InvalidClickRate;InvalidClicks;PercentNewVisitors;RelativeCtr;Slot;ValuePerAllConversion
Impressions,ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource
IsBudgetExplicitlyShared,
Period,
SearchBudgetLostImpressionShare,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource;Slot
SearchExactMatchImpressionShare,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource;Slot
SearchImpressionShare,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource;Slot
SearchRankLostImpressionShare,ClickType;ConversionCategoryName;ConversionTrackerId;ConversionTypeName;ExternalConversionSource;Slot
ServingStatus,
StartDate,
